task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,domain_names,top_shap
motif_cd8_clustering,spatial,0,0,180,43,0.6558441558441559,0.6515151515151515,utag_domain::Macrophage__01,utag_domain::Macrophage__01,,,,,False,False,False,0.16017316017316013,0.09956709956709953,True,False,utag_domain::Tumor__00;utag_domain::Macrophage__01;utag_domain::Tumor__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::B cell__05;utag_domain::CD4 T cell__06;utag_domain::Macrophage__07;utag_domain::Tumor__08;utag_domain::Tumor__09,utag_domain::Macrophage__01;utag_domain::Tumor__08;utag_domain::B cell__05;utag_domain::Tumor__02;utag_domain::CD4 T cell__06
motif_cd8_clustering,spatial,0,1,170,53,0.6072463768115942,0.6318840579710145,utag_domain::B cell__02,utag_domain::B cell__02,,,,,False,False,False,0.07826086956521738,-0.05942028985507242,True,False,utag_domain::CD4 T cell__00;utag_domain::Tumor__01;utag_domain::B cell__02;utag_domain::Stroma__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Macrophage__06;utag_domain::CD4 T cell__07;utag_domain::Tumor__08;utag_domain::Tumor__09,utag_domain::B cell__02;utag_domain::Tumor__08;utag_domain::Tumor__05;utag_domain::Tumor__01;utag_domain::Tumor__04
motif_cd8_clustering,spatial,0,2,182,41,0.655,0.6525,utag_domain::CD4 T cell__06,utag_domain::CD4 T cell__06,,,,,False,False,False,0.2825,0.11249999999999993,True,False,utag_domain::Stroma__00;utag_domain::Tumor__01;utag_domain::Tumor__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::Macrophage__05;utag_domain::CD4 T cell__06;utag_domain::B cell__07;utag_domain::Tumor__08;utag_domain::CD4 T cell__09,utag_domain::CD4 T cell__06;utag_domain::Tumor__02;utag_domain::CD4 T cell__09;utag_domain::B cell__07;utag_domain::Tumor__03
motif_cd8_clustering,spatial,0,3,186,37,0.6941176470588235,0.7088235294117647,utag_domain::Macrophage__03,utag_domain::Macrophage__03,,,9.0,9.0,False,False,False,0.16764705882352948,0.04117647058823537,True,False,utag_domain::Tumor__00;utag_domain::CD8 T cell__01;utag_domain::Tumor__02;utag_domain::Macrophage__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::CD4 T cell__07;utag_domain::Stroma__08;utag_domain::Tumor__09,utag_domain::Macrophage__03;utag_domain::Tumor__09;utag_domain::Tumor__00;utag_domain::CD4 T cell__07;utag_domain::Tumor__06
motif_cd8_clustering,spatial,0,4,174,49,0.5892255892255893,0.5774410774410774,utag_domain::B cell__02,utag_domain::Tumor__05,,,8.0,8.0,False,False,False,0.1683501683501683,-0.021885521885521952,True,False,utag_domain::Tumor__00;utag_domain::CD4 T cell__01;utag_domain::B cell__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Macrophage__06;utag_domain::Tumor__07;utag_domain::Naive immune cell__08;utag_domain::CD8 T cell__09,utag_domain::Tumor__05;utag_domain::Tumor__03;utag_domain::B cell__02;utag_domain::Tumor__04;utag_domain::Macrophage__06
motif_cd8_clustering,spatial,1,0,171,52,0.4639016897081413,0.4639016897081413,utag_domain::Macrophage__09,utag_domain::Macrophage__09,,,7.0,7.0,False,False,False,-0.15668202764976957,0.00614439324116739,False,False,utag_domain::B cell__00;utag_domain::Stroma__01;utag_domain::Tumor__02;utag_domain::CD8 T cell__03;utag_domain::Tumor__04;utag_domain::CD4 T cell__05;utag_domain::Tumor__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::Macrophage__09,utag_domain::Macrophage__09;utag_domain::Tumor__06;utag_domain::Tumor__02;utag_domain::Tumor__04;utag_domain::CD4 T cell__05
motif_cd8_clustering,spatial,1,1,186,37,0.568452380952381,0.5625,utag_domain::B cell__01,utag_domain::Macrophage__09,,,,,False,False,False,0.0357142857142857,-0.0357142857142857,True,False,utag_domain::Tumor__00;utag_domain::B cell__01;utag_domain::CD4 T cell__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::Macrophage__09,utag_domain::Macrophage__09;utag_domain::Tumor__06;utag_domain::B cell__01;utag_domain::Tumor__07;utag_domain::Tumor__04
motif_cd8_clustering,spatial,1,2,181,42,0.6967592592592592,0.7129629629629629,utag_domain::Tumor__08,utag_domain::Tumor__08,utag_domain::CD8 T cell__04,,3.0,6.0,True,False,False,0.2129629629629629,0.06249999999999989,True,False,utag_domain::Stroma__00;utag_domain::Tumor__01;utag_domain::B cell__02;utag_domain::Tumor__03;utag_domain::CD8 T cell__04;utag_domain::CD4 T cell__05;utag_domain::Macrophage__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::CD4 T cell__09,utag_domain::Tumor__08;utag_domain::Tumor__01;utag_domain::Macrophage__06;utag_domain::B cell__02;utag_domain::CD4 T cell__05
motif_cd8_clustering,spatial,1,3,171,52,0.642962962962963,0.6074074074074074,utag_domain::B cell__09,utag_domain::B cell__09,,,,,False,False,False,0.21629629629629632,-0.007407407407407418,True,False,utag_domain::Macrophage__00;utag_domain::Tumor__01;utag_domain::Tumor__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::CD4 T cell__07;utag_domain::Tumor__08;utag_domain::B cell__09,utag_domain::B cell__09;utag_domain::Tumor__08;utag_domain::Tumor__05;utag_domain::Tumor__04;utag_domain::Tumor__02
motif_cd8_clustering,spatial,1,4,183,40,0.6742424242424242,0.6717171717171717,utag_domain::Tumor__04,utag_domain::Tumor__04,,,,,False,False,False,-0.007575757575757569,0.16414141414141414,False,False,utag_domain::Tumor__00;utag_domain::B cell__01;utag_domain::Stroma__02;utag_domain::Macrophage__03;utag_domain::Tumor__04;utag_domain::Naive immune cell__05;utag_domain::CD4 T cell__06;utag_domain::Tumor__07;utag_domain::CD4 T cell__08;utag_domain::Tumor__09,utag_domain::Tumor__04;utag_domain::B cell__01;utag_domain::Tumor__07;utag_domain::Naive immune cell__05;utag_domain::CD4 T cell__08
