task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
OS,cv,cox,risk,p53,3,0.1224335735088748,0.09800911064853966,0.3333333333333334,0.6666666666666666
OS,cv,cox,risk,PR,1,0.11998035517456257,0.11998035517456257,-1.0,1.0
OS,cv,cox,risk,Ki67,4,0.1179990881280727,0.11415857534506127,0.23333333333333328,0.75
OS,cv,cox,risk,HER2,1,0.11555130669794873,0.11555130669794873,1.0,1.0
OS,cv,cox,risk,T-bet,1,0.11552113488499413,0.11552113488499413,0.8666666666666665,1.0
OS,cv,cox,risk,CD38,2,0.11263509718559238,0.11263509718559238,-1.1102230246251565e-16,0.5
OS,cv,cox,risk,DAPI,1,0.11186771812429339,0.11186771812429339,1.0,1.0
OS,cv,cox,risk,PD-L1,2,0.11056803290220568,0.11056803290220568,0.9999999999999999,1.0
OS,cv,cox,risk,c_Myc,1,0.10619891033756314,0.10619891033756314,1.0,1.0
OS,cv,cox,risk,Vimentin,5,0.10546188805785839,0.14048594136432452,-0.27999999999999997,0.8
OS,cv,cox,risk,beta-catenin,1,0.09988420332725757,0.09988420332725757,0.5999999999999999,1.0
OS,cv,cox,risk,CD3e,2,0.09987437368566854,0.09987437368566854,-0.4,0.5
OS,cv,cox,risk,TTF1,1,0.09870489736088726,0.09870489736088726,-0.9999999999999999,1.0
OS,cv,cox,risk,CK7,1,0.09631107332445385,0.09631107332445385,1.0,1.0
OS,cv,cox,risk,FoxP3,3,0.09509936640363859,0.08787267140995215,-0.11111111111111112,0.6666666666666666
OS,cv,cox,risk,CK,1,0.09094779942822974,0.09094779942822974,1.0,1.0
OS,cv,cox,risk,CDX2,1,0.08972002093514259,0.08972002093514259,0.46666666666666656,1.0
OS,cv,cox,risk,CD11b,3,0.08904964043155118,0.04962777764875792,0.02222222222222218,0.6666666666666666
OS,cv,cox,risk,Carbonic Anhydrase IX,1,0.08864854124873998,0.08864854124873998,1.0,1.0
OS,cv,cox,risk,CD25,2,0.08785820121371418,0.08785820121371418,0.26666666666666666,0.5
OS,cv,cox,risk,cleaved PARP,1,0.08715063603755815,0.08715063603755815,1.0,1.0
OS,cv,cox,risk,CD2,1,0.08649053055337452,0.08649053055337452,-0.9999999999999998,1.0
OS,cv,cox,risk,HOECHST1,1,0.08383283441165373,0.08383283441165373,-0.8666666666666665,1.0
OS,cv,cox,risk,CK19,1,0.08272197665017278,0.08272197665017278,-1.0,1.0
OS,cv,cox,risk,Twist,2,0.08110416091408698,0.08110416091408698,-1.0,1.0
OS,cv,cox,risk,PD-1,2,0.07997015744530704,0.07997015744530704,-0.6666666666666666,1.0
OS,cv,cox,risk,CD45,5,0.07940231467800479,0.06610458879109819,0.040000000000000015,0.6
OS,cv,cox,risk,CD3,4,0.07764530848020569,0.053875836794317414,-0.6666666666666666,0.75
OS,cv,cox,risk,Chromogranin A,1,0.07654534322214746,0.07654534322214746,0.5999999999999999,1.0
OS,cv,cox,risk,DRAQ5,1,0.07630098090415098,0.07630098090415098,0.5999999999999999,1.0
OS,cv,cox,risk,CD31,4,0.07481598795509356,0.05701270558673981,2.7755575615628914e-17,0.5
OS,cv,cox,risk,CD138,1,0.0737583395874978,0.0737583395874978,0.46666666666666656,1.0
OS,cv,cox,risk,IDO-1,1,0.07351854672279598,0.07351854672279598,-0.19999999999999993,1.0
OS,cv,cox,risk,EGFR,3,0.07228593699832615,0.027637846365099313,0.2888888888888888,0.6666666666666666
OS,cv,cox,risk,ER,1,0.07211532885468618,0.07211532885468618,1.0,1.0
OS,cv,cox,risk,Histone H3,1,0.07098101995927363,0.07098101995927363,-1.0,1.0
OS,cv,cox,risk,pS6,1,0.06959590935259288,0.06959590935259288,-1.0,1.0
OS,cv,cox,risk,Beta_catenin,1,0.06955461339070057,0.06955461339070057,-1.0,1.0
OS,cv,cox,risk,Ki-67,1,0.06927805870667571,0.06927805870667571,0.7333333333333333,1.0
OS,cv,cox,risk,Progesterone Receptor A/B,1,0.06731758023921526,0.06731758023921526,-1.0,1.0
OS,cv,cox,risk,phospho-Histone,1,0.06721958165742213,0.06721958165742213,-1.0,1.0
OS,cv,cox,risk,CD45RA,3,0.06599941263608217,0.02457424381342895,0.33333333333333326,0.6666666666666666
OS,cv,cox,risk,CD20,6,0.06433192241457347,0.061341498730425104,-0.688888888888889,0.8333333333333334
OS,cv,cox,risk,CD14,3,0.0643249364670298,0.06362381920451234,-0.24444444444444446,1.0
OS,cv,cox,risk,CD117,3,0.06419101706176927,0.02717812288739537,0.19999999999999998,0.6666666666666666
OS,cv,cox,risk,c-Myc,1,0.06285958183524427,0.06285958183524427,1.0,1.0
OS,cv,cox,risk,CD56,2,0.06280199530201082,0.06280199530201082,-0.7999999999999999,1.0
OS,cv,cox,risk,CD44,4,0.06153072028400669,0.06105537522185664,0.06666666666666672,0.75
OS,cv,cox,risk,aSMA,2,0.06039444901920049,0.06039444901920049,0.6,1.0
OS,cv,cox,risk,PanCK,2,0.06031383798124,0.06031383798124,0.1333333333333333,0.5
OS,cv,cox,risk,GATA3,3,0.060016395809880996,0.03420219772244648,0.24444444444444438,0.6666666666666666
OS,cv,cox,risk,CD8a,1,0.059755792330154,0.059755792330154,-0.9999999999999999,1.0
OS,cv,cox,risk,CD141,1,0.058259864580629386,0.058259864580629386,-0.6,1.0
OS,cv,cox,risk,CD16,2,0.058203043159483575,0.058203043159483575,1.0,1.0
OS,cv,cox,risk,CD47,1,0.05797263444077815,0.05797263444077815,0.8666666666666667,1.0
OS,cv,cox,risk,panCK,1,0.05735869166667714,0.05735869166667714,-0.8666666666666667,1.0
OS,cv,cox,risk,MMP12,1,0.0572003096273703,0.0572003096273703,0.33333333333333326,1.0
OS,cv,cox,risk,CD5,1,0.05565024055675422,0.05565024055675422,0.5999999999999999,1.0
OS,cv,cox,risk,GFAP,1,0.05520826219275372,0.05520826219275372,-0.19999999999999993,1.0
OS,cv,cox,risk,CD21,2,0.054782741253035894,0.054782741253035894,0.9333333333333332,1.0
OS,cv,cox,risk,CD7,1,0.05346747515003125,0.05346747515003125,-0.46666666666666656,1.0
OS,cv,cox,risk,pan Cytokeratin,1,0.05338227523660158,0.05338227523660158,0.8666666666666667,1.0
OS,cv,cox,risk,Cytokeratin 7,1,0.05051910714775994,0.05051910714775994,-1.0,1.0
OS,cv,cox,risk,HH3_ph,1,0.05035288658181922,0.05035288658181922,1.0,1.0
OS,cv,cox,risk,phospho-S6,1,0.05031787250218307,0.05031787250218307,0.8666666666666667,1.0
OS,cv,cox,risk,p16,1,0.05020098463483264,0.05020098463483264,-0.7333333333333333,1.0
OS,cv,cox,risk,PDL1,1,0.04836642605653274,0.04836642605653274,-0.8666666666666667,1.0
OS,cv,cox,risk,SMA,2,0.048269770642116586,0.048269770642116586,-0.6666666666666667,1.0
OS,cv,cox,risk,Cytokeratin,1,0.04761787425082534,0.04761787425082534,-0.33333333333333326,1.0
OS,cv,cox,risk,Cytokeratin 5,1,0.045219322667224296,0.045219322667224296,1.0,1.0
OS,cv,cox,risk,CollagenIV,1,0.044450862940123015,0.044450862940123015,1.0,1.0
OS,cv,cox,risk,GranzymeB,1,0.04416598742492614,0.04416598742492614,-0.6,1.0
OS,cv,cox,risk,CK5,1,0.04042837559657588,0.04042837559657588,-0.7333333333333333,1.0
OS,cv,cox,risk,EpCAM,1,0.03925922555642849,0.03925922555642849,0.8666666666666667,1.0
OS,cv,cox,risk,CD57,2,0.03923865329839908,0.03923865329839908,-0.06666666666666667,0.5
OS,cv,cox,risk,pmTOR,1,0.03746122076585103,0.03746122076585103,0.7333333333333333,1.0
OS,cv,cox,risk,Granzyme B,1,0.037344091639772356,0.037344091639772356,-0.5999999999999999,1.0
OS,cv,cox,risk,Slug,2,0.03721739743195967,0.03721739743195967,-0.13333333333333336,0.5
OS,cv,cox,risk,MPO,1,0.03685277197341199,0.03685277197341199,-0.8666666666666666,1.0
OS,cv,cox,risk,CD134,1,0.03636062589607247,0.03636062589607247,-0.8666666666666667,1.0
OS,cv,cox,risk,MMP9,1,0.035034945309035476,0.035034945309035476,-0.33333333333333326,1.0
OS,cv,cox,risk,vWF_CD31,1,0.03426714526113652,0.03426714526113652,1.0,1.0
OS,cv,cox,risk,ICOS,2,0.033604840372238626,0.033604840372238626,0.2666666666666667,0.5
OS,cv,cox,risk,c_PARP_c_Casp3,1,0.0333212945996733,0.0333212945996733,0.7333333333333333,1.0
OS,cv,cox,risk,Cytokeratin 19,1,0.03276225514017804,0.03276225514017804,-0.8666666666666667,1.0
OS,cv,cox,risk,HH3_total,1,0.0315753699038618,0.0315753699038618,0.7333333333333333,1.0
OS,cv,cox,risk,CD49f,1,0.03112171959837785,0.03112171959837785,0.7333333333333333,1.0
OS,cv,cox,risk,Keratin 14 (KRT14),1,0.03087691591806583,0.03087691591806583,-0.8666666666666667,1.0
OS,cv,cox,risk,DNA1,3,0.030145432018347004,0.025091487245734522,0.02222222222222227,0.6666666666666666
OS,cv,cox,risk,Cytokeratin 8/18,1,0.029869103086643367,0.029869103086643367,0.06666666666666664,1.0
OS,cv,cox,risk,CAIX,1,0.029017364166254233,0.029017364166254233,-0.6,1.0
OS,cv,cox,risk,CK8_18,1,0.02874999110569965,0.02874999110569965,-0.06666666666666667,1.0
OS,cv,cox,risk,Estrogen,1,0.02815858035847222,0.02815858035847222,0.3333333333333333,1.0
OS,cv,cox,risk,phospho-mTOR,1,0.02774708831452972,0.02774708831452972,-0.6,1.0
OS,cv,cox,risk,CD11c,3,0.02704829060991097,0.024187618983194433,0.022222222222222168,0.6666666666666666
OS,cv,cox,risk,Sox9,1,0.026707917665749863,0.026707917665749863,-0.2,1.0
OS,cv,cox,risk,Pancytokeratin,1,0.026443165999228135,0.026443165999228135,-0.4666666666666667,1.0
OS,cv,cox,risk,Fibronectin,2,0.026226909259436004,0.026226909259436004,-0.26666666666666666,0.5
OS,cv,cox,risk,DNA2,1,0.02575345570334874,0.02575345570334874,1.0,1.0
OS,cv,cox,risk,H3K27me3,1,0.02371079524652316,0.02371079524652316,0.06666666666666667,1.0
OS,cv,cox,risk,PD1,1,0.023612179569072633,0.023612179569072633,0.8666666666666667,1.0
OS,cv,cox,risk,E_cadherin,1,0.02318247829000658,0.02318247829000658,0.06666666666666667,1.0
OS,cv,cox,risk,CK14,1,0.022360444399552436,0.022360444399552436,-0.6,1.0
OS,cv,cox,risk,CD152,1,0.020823951079929383,0.020823951079929383,0.7333333333333333,1.0
OS,cv,cox,risk,CD94,1,0.011731401422514328,0.011731401422514328,-0.4666666666666667,1.0
OS,cv,cox,risk,TMEM16A,1,0.011424103646650485,0.011424103646650485,0.6,1.0
