dataset,task,model,class,seed,fold,feature,mean_abs_shap,mean_shap,value_shap_spearman,top_feature,n_explained_regions
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,3,tcn_fraction__5,0.12635568408826928,-0.006891033431129923,-1.0,True,77
bc_jackson2020,clinical_type,logistic,TripleNeg,0,3,tcn_fraction__1,0.03250156277547575,-0.006494455380557483,1.0,True,77
bc_jackson2020,clinical_type,logistic,TripleNeg,0,3,tcn_fraction__2,0.008269098126449326,-0.000973906888108464,-1.0,True,77
bc_jackson2020,clinical_type,logistic,TripleNeg,0,3,tcn_fraction__3,0.0,0.0,,True,77
bc_jackson2020,clinical_type,logistic,TripleNeg,0,3,tcn_fraction__4,0.10443011434841691,0.001994573749237431,-1.0,True,77
bc_jackson2020,clinical_type,logistic,TripleNeg,0,3,tcn_fraction__5,0.08103772391389813,0.004419537345729849,1.0,True,77
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,4,tcn_fraction__1,0.12398148068810293,-0.02651881836046732,0.9999999999999998,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,4,tcn_fraction__2,0.0,0.0,,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,4,tcn_fraction__3,0.01900566214134881,-0.005050067587047301,-1.0,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,4,tcn_fraction__4,0.06357895376391527,-0.008133396926971423,1.0,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,4,tcn_fraction__5,0.11625973575273191,-0.0026772070266914104,-1.0,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,4,tcn_fraction__1,0.01673851386737572,0.0035802573610955,-0.9999999999999998,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,4,tcn_fraction__2,0.0,0.0,,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,4,tcn_fraction__3,0.03979791260634466,-0.010574856429136694,-1.0,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,4,tcn_fraction__4,0.007215844930477284,-0.000923093689162841,1.0,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,4,tcn_fraction__5,0.0,0.0,,True,68
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,4,tcn_fraction__1,0.1659084453173577,0.035486718672982594,-0.9999999999999998,True,68
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,4,tcn_fraction__2,0.043910161228160736,0.003951971519727417,1.0,True,68
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,4,tcn_fraction__3,0.15176916174016297,0.0403271676996644,1.0,True,68
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,4,tcn_fraction__4,0.012145364930593724,0.0015537071303539218,-1.0,True,68
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,4,tcn_fraction__5,0.0,0.0,,True,68
bc_jackson2020,clinical_type,logistic,TripleNeg,0,4,tcn_fraction__1,6.816095849729753e-05,-1.4579178016210243e-05,0.9999999999999998,True,68
bc_jackson2020,clinical_type,logistic,TripleNeg,0,4,tcn_fraction__2,0.17306295490793638,-0.015575890631834132,-1.0,True,68
bc_jackson2020,clinical_type,logistic,TripleNeg,0,4,tcn_fraction__3,7.13310419591529e-08,1.8953645512013928e-08,1.0,True,68
bc_jackson2020,clinical_type,logistic,TripleNeg,0,4,tcn_fraction__4,0.12539710171016563,0.016041541128338586,-1.0,True,68
bc_jackson2020,clinical_type,logistic,TripleNeg,0,4,tcn_fraction__5,0.0,0.0,,True,68
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,0,tcn_fraction__1,0.0,0.0,,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,0,tcn_fraction__2,0.0,0.0,,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,0,tcn_fraction__3,0.1634416781835121,0.014413368234228213,-1.0,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,0,tcn_fraction__4,0.0021222076202744335,8.535394017340939e-05,1.0,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,0,tcn_fraction__5,0.11103394999400872,-0.009256231116791367,-0.9999999999999998,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,0,tcn_fraction__1,0.0,0.0,,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,0,tcn_fraction__2,0.0006183427486917163,-0.00024492416841803623,1.0,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,0,tcn_fraction__3,0.04397332269548871,0.0038778584479595827,-1.0,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,0,tcn_fraction__4,0.00029347305029584083,-1.180331318112029e-05,-1.0,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,0,tcn_fraction__5,0.08794887120006574,0.0073317672507611465,0.9999999999999998,True,75
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,0,tcn_fraction__1,0.06495763301290366,-0.015088930825026914,-0.9999999999999999,True,75
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,0,tcn_fraction__2,0.0,0.0,,True,75
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,0,tcn_fraction__3,0.10223907499891981,-0.009016117873139683,1.0,True,75
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,0,tcn_fraction__4,0.030209468913966517,0.001215007041591778,1.0,True,75
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,0,tcn_fraction__5,0.01677796964468923,-0.0013986781944633439,-0.9999999999999998,True,75
bc_jackson2020,clinical_type,logistic,TripleNeg,1,0,tcn_fraction__1,0.0,0.0,,True,75
bc_jackson2020,clinical_type,logistic,TripleNeg,1,0,tcn_fraction__2,0.023730218383263047,0.009399485990894687,-1.0,True,75
bc_jackson2020,clinical_type,logistic,TripleNeg,1,0,tcn_fraction__3,0.07573128438873131,-0.006678485566700187,1.0,True,75
bc_jackson2020,clinical_type,logistic,TripleNeg,1,0,tcn_fraction__4,0.21135059271414156,-0.008500396320226524,-1.0,True,75
bc_jackson2020,clinical_type,logistic,TripleNeg,1,0,tcn_fraction__5,0.03102080504040707,0.00258601752795814,0.9999999999999998,True,75
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,1,tcn_fraction__1,0.0,0.0,,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,1,tcn_fraction__2,0.0,0.0,,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,1,tcn_fraction__3,0.055081899468352666,0.01482916737642002,-1.0,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,1,tcn_fraction__4,0.030776277882280077,0.006998164075472947,1.0,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,1,tcn_fraction__5,0.22861513726907906,-0.003384803562823403,-1.0,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,1,tcn_fraction__1,0.0,0.0,,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,1,tcn_fraction__2,0.0,0.0,,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,1,tcn_fraction__3,0.016357616188022523,0.00440380289482922,-1.0,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,1,tcn_fraction__4,0.002295630128892594,0.0005219993255857384,1.0,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,1,tcn_fraction__5,0.05621912284594794,0.0008323625879759631,1.0,True,82
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,1,tcn_fraction__1,0.2821948731916446,-0.043720722938638774,-0.9999999999999999,True,82
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,1,tcn_fraction__2,0.0,0.0,,True,82
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,1,tcn_fraction__3,0.12050901190841193,-0.032443476445172044,1.0,True,82
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,1,tcn_fraction__4,0.021361214866721382,-0.004857289340203773,-1.0,True,82
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,1,tcn_fraction__5,0.0,0.0,,True,82
bc_jackson2020,clinical_type,logistic,TripleNeg,1,1,tcn_fraction__1,0.0,0.0,,True,82
bc_jackson2020,clinical_type,logistic,TripleNeg,1,1,tcn_fraction__2,0.0,0.0,,True,82
bc_jackson2020,clinical_type,logistic,TripleNeg,1,1,tcn_fraction__3,0.09740434948252243,-0.026223231508156895,1.0,True,82
bc_jackson2020,clinical_type,logistic,TripleNeg,1,1,tcn_fraction__4,0.15430051672982412,-0.03508612500627603,-1.0,True,82
bc_jackson2020,clinical_type,logistic,TripleNeg,1,1,tcn_fraction__5,0.0,0.0,,True,82
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,2,tcn_fraction__1,0.05841422704780992,-0.012236693276468072,1.0,True,74
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,2,tcn_fraction__2,0.0,0.0,,True,74
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,2,tcn_fraction__3,0.08810396197479758,-0.014318635143041523,-1.0,True,74
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,2,tcn_fraction__4,0.04040716013764414,-0.0045298490956128985,0.9999999999999998,True,74
bc_jackson2020,clinical_type,logistic,HR+HER2+,1,2,tcn_fraction__5,0.04807287351313134,0.009870583578668954,-1.0,True,74
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,2,tcn_fraction__1,0.046517047124215546,0.009744455529988526,-1.0,True,74
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,2,tcn_fraction__2,0.0,0.0,,True,74
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,2,tcn_fraction__3,0.020199111924413295,0.003282754911088638,1.0,True,74
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,2,tcn_fraction__4,0.0,0.0,,True,74
bc_jackson2020,clinical_type,logistic,HR+HER2-,1,2,tcn_fraction__5,0.03758061679495114,-0.007716256422890356,1.0,True,74
bc_jackson2020,clinical_type,logistic,HR-HER2+,1,2,tcn_fraction__1,0.11451468055959473,0.023988694064437148,-1.0,True,74
