dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2-,tcn_fraction__1,-0.0253098806970076,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2-,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2-,tcn_fraction__3,-0.052945788856204,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2-,tcn_fraction__4,0.0119698345212293,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR+HER2-,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR-HER2+,tcn_fraction__1,-0.2508659365389074,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR-HER2+,tcn_fraction__2,0.054674571425193,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR-HER2+,tcn_fraction__3,0.2019085290191029,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR-HER2+,tcn_fraction__4,-0.0201470527456804,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,HR-HER2+,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,0,4,1.0,302,68,TripleNeg,tcn_fraction__1,0.0001030644501334,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,TripleNeg,tcn_fraction__2,-0.2154886847261349,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,TripleNeg,tcn_fraction__3,9.489639127253189e-08,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,TripleNeg,tcn_fraction__4,-0.2080120306593146,True
BC-Jackson2020,clinical_type,0,4,1.0,302,68,TripleNeg,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2+,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2+,tcn_fraction__3,-0.2120123485123446,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2+,tcn_fraction__4,0.0032667059841271,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2+,tcn_fraction__5,-0.1327698446896256,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2-,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2-,tcn_fraction__2,0.0009706797389138,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2-,tcn_fraction__3,-0.0503970910455713,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2-,tcn_fraction__4,-3.906460743613932e-05,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR+HER2-,tcn_fraction__5,0.0862087831870341,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR-HER2+,tcn_fraction__1,-0.0789342889749993,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR-HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR-HER2+,tcn_fraction__3,0.147420346080964,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR-HER2+,tcn_fraction__4,0.0417739637995535,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,HR-HER2+,tcn_fraction__5,-0.0290407280850617,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,TripleNeg,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,1,0,1.0,295,75,TripleNeg,tcn_fraction__2,-0.0371088196948829,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,TripleNeg,tcn_fraction__3,0.1115240978336699,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,TripleNeg,tcn_fraction__4,-0.2895061882459479,True
BC-Jackson2020,clinical_type,1,0,1.0,295,75,TripleNeg,tcn_fraction__5,0.023550561059209,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2+,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2+,tcn_fraction__3,-0.0665369623788674,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2+,tcn_fraction__4,0.0393609553260975,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2+,tcn_fraction__5,-0.3299560191981656,True
BC-Jackson2020,clinical_type,1,1,1.0,288,82,HR+HER2-,tcn_fraction__1,0.0,False
