task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
OS,cv,cox,risk,PD-1- CD8+,1,0.14663430284744658,0.14663430284744658,-1.0,1.0
OS,cv,cox,risk,Lymphocytes,1,0.14588331211220937,0.14588331211220937,0.4666666666666667,1.0
OS,cv,cox,risk,plasma cells,1,0.1405380465967388,0.1405380465967388,0.9999999999999998,1.0
OS,cv,cox,risk,vasculature,1,0.1384234339365792,0.1384234339365792,-0.9999999999999998,1.0
OS,cv,cox,risk,FOXP3+,1,0.134775805236763,0.134775805236763,1.0,1.0
OS,cv,cox,risk,CD8+ T cells,1,0.1341880288137742,0.1341880288137742,0.9999999999999998,1.0
OS,cv,cox,risk,Unclassified,1,0.12607023779176063,0.12607023779176063,0.6,1.0
OS,cv,cox,risk,CD4+ T cells CD45RO+,1,0.12232543951245865,0.12232543951245865,-0.9999999999999998,1.0
OS,cv,cox,risk,HR- CK7+,1,0.1165950555742976,0.1165950555742976,1.0,1.0
OS,cv,cox,risk,CD11c+ DCs,1,0.11363339892038314,0.11363339892038314,0.6,1.0
OS,cv,cox,risk,Th,1,0.11153043628445745,0.11153043628445745,-0.9999999999999999,1.0
OS,cv,cox,risk,Fibroblasts,1,0.11064624428364912,0.11064624428364912,-1.0,1.0
OS,cv,cox,risk,Tumour,1,0.10890381930639333,0.10890381930639333,0.8666666666666667,1.0
OS,cv,cox,risk,HR+ CK7- Ki67+,1,0.10886064855014549,0.10886064855014549,1.0,1.0
OS,cv,cox,risk,CD4+ T cells,1,0.10880259878456074,0.10880259878456074,-1.0,1.0
OS,cv,cox,risk,Tumor (CK7+),1,0.10305745877259946,0.10305745877259946,-1.0,1.0
OS,cv,cox,risk,B Cells,1,0.10261556376314675,0.10261556376314675,-0.8666666666666667,1.0
OS,cv,cox,risk,Blood Vessels,1,0.10243215422089931,0.10243215422089931,-0.6,1.0
OS,cv,cox,risk,tumor cells / immune cells,1,0.10192073498771596,0.10192073498771596,0.6,1.0
OS,cv,cox,risk,Tumor,1,0.1016422171037325,0.1016422171037325,1.0,1.0
OS,cv,cox,risk,Macrophage,2,0.10080096597464701,0.10080096597464701,0.7333333333333334,1.0
OS,cv,cox,risk,Mast Cells,1,0.0983619024072808,0.0983619024072808,-0.06666666666666667,1.0
OS,cv,cox,risk,Int Mo,1,0.09578839912828067,0.09578839912828067,1.0,1.0
OS,cv,cox,risk,CD4 T cell,1,0.09447785729861628,0.09447785729861628,-1.0,1.0
OS,cv,cox,risk,Monocytes,1,0.09290850980583783,0.09290850980583783,-0.2,1.0
OS,cv,cox,risk,Tumor (Podo+),1,0.08935721541198303,0.08935721541198303,1.0,1.0
OS,cv,cox,risk,PD-L1+ tumor,1,0.0847850253815928,0.0847850253815928,1.0,1.0
OS,cv,cox,risk,B cells,2,0.08353546854126638,0.08353546854126638,-0.9333333333333333,1.0
OS,cv,cox,risk,T other,1,0.0816553177386772,0.0816553177386772,0.9999999999999999,1.0
OS,cv,cox,risk,NONE,1,0.08018408377847515,0.08018408377847515,0.9999999999999999,1.0
OS,cv,cox,risk,Stroma (Large elongated),1,0.07966619382849768,0.07966619382849768,1.0,1.0
OS,cv,cox,risk,B cell,3,0.07879750160693345,0.06903022761753282,-0.9555555555555556,1.0
OS,cv,cox,risk,CD4 Cells,1,0.07461892430536385,0.07461892430536385,0.2,1.0
OS,cv,cox,risk,Tumor (CD15+),1,0.07448180189753212,0.07448180189753212,-0.8666666666666667,1.0
OS,cv,cox,risk,NK cells,1,0.07418343601506254,0.07418343601506254,-0.9999999999999999,1.0
OS,cv,cox,risk,Effector CD4,1,0.07320974933675659,0.07320974933675659,-0.2,1.0
OS,cv,cox,risk,undefined,1,0.0723212935724245,0.0723212935724245,0.9999999999999999,1.0
OS,cv,cox,risk,Naive immune cell,1,0.07008925561394795,0.07008925561394795,-0.8666666666666667,1.0
OS,cv,cox,risk,granulocytes,1,0.06905189503427732,0.06905189503427732,0.7333333333333332,1.0
OS,cv,cox,risk,immune cells / vasculature,1,0.06838405007901406,0.06838405007901406,0.9999999999999999,1.0
OS,cv,cox,risk,CD163+ macrophages,1,0.06834943483291736,0.06834943483291736,-0.5999999999999999,1.0
OS,cv,cox,risk,CD11b+ monocytes,1,0.0675979480690043,0.0675979480690043,0.9999999999999999,1.0
OS,cv,cox,risk,Tumor (Epithelial low),1,0.06742158243872312,0.06742158243872312,1.0,1.0
OS,cv,cox,risk,adipocytes,1,0.06624582696071148,0.06624582696071148,-0.8666666666666667,1.0
OS,cv,cox,risk,HR- CK7-,1,0.06411979404910365,0.06411979404910365,-1.0,1.0
OS,cv,cox,risk,Mast cell,1,0.06181285166512761,0.06181285166512761,-1.0,1.0
OS,cv,cox,risk,Tc,1,0.06180239224349266,0.06180239224349266,-0.9999999999999999,1.0
OS,cv,cox,risk,CD8 Cells,1,0.06092595233711625,0.06092595233711625,-0.06666666666666667,1.0
OS,cv,cox,risk,Tumor (Apoptotic),1,0.0599886980256455,0.0599886980256455,-1.0,1.0
OS,cv,cox,risk,HER2+,1,0.0578807156789414,0.0578807156789414,1.0,1.0
OS,cv,cox,risk,Tumor (Proliferative),1,0.05703496999552144,0.05703496999552144,0.8666666666666667,1.0
OS,cv,cox,risk,smooth muscle,1,0.05475876760865461,0.05475876760865461,0.8666666666666666,1.0
OS,cv,cox,risk,Myofibroblasts,1,0.054238923622744226,0.054238923622744226,-1.0,1.0
OS,cv,cox,risk,CD68+ macrophages GzmB+,1,0.05259750078282899,0.05259750078282899,-0.06666666666666667,1.0
OS,cv,cox,risk,Stroma (Fibronectin hi),1,0.052393092655797724,0.052393092655797724,0.7333333333333333,1.0
OS,cv,cox,risk,HR- Ki67+,1,0.0523058751508555,0.0523058751508555,1.0,1.0
