dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (Basal CK),-0.02175353609270183,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (CK lo HR hi p53+),-0.22848027449251304,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (CK lo HR lo),-0.21866490393781898,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (CK+ HR hi),-0.05521868336255628,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (CK+ HR lo),0.16301209814908393,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (CK+ HR+),-0.19541166360059628,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (CK7+ CK hi Ecadh hi),0.27783071354554806,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (CK7+),0.5109402378426487,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (Epithelial low),-0.11284337489050764,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (Hypoxic),-0.35569083137753277,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (Myoepithelial),0.16069025284880248,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (Proliferative),-0.13398739216503008,True
BC-Jackson2020,response,1,1,1.0,176,43,1,Tumor (p53+ EGFR+),-0.2584190448953597,True
BC-Jackson2020,response,1,2,1.0,177,42,1,B cell,0.3841145791022588,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Endothelial,0.28585294170798825,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Macrophage,0.0,False
BC-Jackson2020,response,1,2,1.0,177,42,1,Stroma (Fibronectin hi),-0.32728469286006784,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Stroma (Large elongated),-0.46486581281250744,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Stroma (SMA hi Vimentin hi),0.13098510045838022,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Stroma (Small circular),0.147745300506371,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Stroma (Small elongated),0.25572186863011975,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Stroma (Vimentin hi),0.0,False
BC-Jackson2020,response,1,2,1.0,177,42,1,T & B cells,-0.4288462591134173,True
BC-Jackson2020,response,1,2,1.0,177,42,1,T cell,0.03504230002473191,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Tumor (Apoptotic),0.1683486633063065,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Tumor (Basal CK),-0.033104138469144645,True
BC-Jackson2020,response,1,2,1.0,177,42,1,Tumor (CK lo HR hi p53+),-0.3299084864152019,True
