task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,top_shap
motif_cd8_clustering,spatial,1,0,171,52,0.9385560675883257,0.9493087557603687,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,1,1,True,True,False,0.2749615975422427,0.08448540706605223,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;composition::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_clustering,spatial,1,1,186,37,0.9255952380952381,0.8928571428571428,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;point-pattern::CD8 T cell_L_r10,1,1,True,True,False,0.2767857142857142,0.014880952380952328,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;composition::CD8 T cell;point-pattern::CD8 T cell_L_r10
motif_cd8_clustering,spatial,1,2,181,42,0.9837962962962963,0.9050925925925927,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_K_r200,1,1,True,True,False,0.10416666666666674,0.03240740740740755,True,True,point-pattern::CD8 T cell_L_r200;composition::CD8 T cell;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_K_r200
motif_cd8_clustering,spatial,1,3,171,52,0.9777777777777777,0.9674074074074074,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,1,1,True,True,False,0.21925925925925926,0.01777777777777778,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10
motif_cd8_clustering,spatial,1,4,183,40,0.952020202020202,0.9570707070707071,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_K_r200,1,1,True,True,False,0.30808080808080807,0.11363636363636365,True,True,point-pattern::CD8 T cell_L_r200;composition::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_K_r200
motif_cd8_clustering,spatial,2,0,174,49,0.9933110367892977,0.9749163879598662,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.34448160535117056,0.0,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;composition::CD8 T cell;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100
motif_cd8_clustering,spatial,2,1,181,42,0.8023529411764706,0.7529411764705882,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.1435294117647059,-0.0023529411764705577,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;composition::CD8 T cell;density::tumor_area_ratio;point-pattern::CD8 T cell_L_r100
motif_cd8_clustering,spatial,2,2,177,46,0.9829545454545454,0.9507575757575757,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r10,1,1,True,True,False,0.2821969696969697,-0.0018939393939394478,True,True,point-pattern::CD8 T cell_L_r200;composition::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r10
motif_cd8_clustering,spatial,2,3,175,48,0.9664902998236331,0.9188712522045855,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;point-pattern::CD8 T cell_L_r20,1,1,True,True,False,0.24691358024691357,0.06172839506172845,True,True,point-pattern::CD8 T cell_L_r200;composition::CD8 T cell;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;point-pattern::CD8 T cell_L_r20
motif_cd8_clustering,spatial,2,4,185,38,0.9943977591036415,0.969187675070028,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_K_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r20;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.24929971988795518,0.0056022408963585235,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r20;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100
