dataset,motif_id,role,spatial,residual_on,n_labeled_v2,n_0,n_1,auc_composition,gate1_composition,panel,auc_density,gate2_density,decision,in_formal_set
crc_wu2022,macrophage_tumor_niche,spatial,True,tumor;macrophage,173,87,86,0.8172213634025065,fail,composition_then_density,0.8950110154809926,pass,drop_composition_leak,False
crc_wu2022,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,174,86,88,0.6371992091772218,borderline,composition_then_density,0.6385055445488093,fail,hold,False
crc_wu2022,apc_t_contact,spatial,True,apc;t_cell,175,87,88,0.8102037401882604,fail,composition_then_density,0.8236239322698732,pass,drop_composition_leak,False
crc_wu2022,tls_like,spatial,True,b_cell;t_cell,174,87,87,0.7387726236846305,fail,composition_then_density,0.6960553244533717,fail,drop_composition_leak,False
crc_wu2022,interface_immune,spatial,True,immune;tumor,176,88,88,0.7054827204672407,fail,composition_then_density,0.962645428187224,pass,drop_composition_leak,False
crc_wu2022,vessel_immune,spatial,True,immune;vessel,174,87,87,0.7710857811285656,fail,composition_then_density,0.7964063958916902,fail,drop_composition_leak,False
crc_wu2022,tumor_stroma_mixing,spatial,True,tumor;stroma,174,86,88,0.774189679612919,fail,composition_then_density,0.9337347633291904,pass,drop_composition_leak,False
crc_wu2022,cd8_clustering,spatial,True,cd8,173,86,87,0.6411433558239136,fail,composition_then_density,0.5918310199494454,fail,drop_composition_leak,False
luad_sorin2023,tumor_high,control,False,,536,276,260,0.9958713566727504,pass_control,composition_then_density,0.995406780598418,pass_control,keep_control,True
luad_sorin2023,cd8_high,control,False,,536,262,274,0.9911168261342478,pass_control,composition_then_density,0.9751829729181644,pass_control,keep_control,True
luad_sorin2023,immune_exclusion,spatial,True,tumor;cd8,330,152,178,0.624,borderline,composition_then_density,0.98912,pass,keep_spatial_caveat,True
luad_sorin2023,t_tumor_mixing,spatial,True,tumor;t_cell,323,168,155,0.6425476923076923,fail,composition_then_density,0.8154133333333333,pass,drop_composition_leak,False
luad_sorin2023,cd8_tumor_contact,spatial,True,tumor;cd8,316,164,152,0.6741128205128206,fail,composition_then_density,0.8321764102564103,pass,drop_composition_leak,False
luad_sorin2023,macrophage_tumor_niche,spatial,True,tumor;macrophage,318,156,162,0.5840205128205128,pass,composition_then_density,0.8006153846153846,pass,keep_spatial,True
luad_sorin2023,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,321,168,153,0.6652,fail,composition_then_density,0.6937333333333332,fail,drop_composition_leak,False
luad_sorin2023,apc_t_contact,spatial,True,apc;t_cell,324,174,150,0.6832451282051281,fail,composition_then_density,0.7278605128205127,fail,drop_composition_leak,False
